Common Name,Sample ID,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8
A/northern pintail/Interior Alaska/10BM00303R0/2010(H3N8),10BM00303,1146-20179,,,,NOPI,Anas acuta,M,A,H,AHY,AHY,W,M,C,64.90865,148.80215,1000,14-May-10,5,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY04,83,14-May-10,N,,SPRING,914,106.4,50,261,,,17,10BM20017,10BM30017,CAMP SOUTH,DECOY TRAP,,,,,,,,,,,,,,NOPI 801,10BM00303,10BM00304,,CY130420,CY130419,CY130418,CY130413,CY130416,CY130415,CY130414,CY130417
A/northern pintail/Interior Alaska/10BM00849R2/2010(H3N1),10BM00849,1146-20445,,,,NOPI,Anas acuta,M,A,H,AHY,AHY,W,M,C,64.88228,148.85684,1258,23-May-10,5,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY21,498,23-May-10,N,,SPRING,904,109.9,53,268,,,282,10BM20282,10BM30282,LITTLE MINTO NORTHWEST ROTTEN,DECOY TRAP,,,,,,,,,,,,,,NOPI 130,10BM00849,10BM00850,,CY130484,CY130483,CY130482,CY130477,CY130480,CY130479,CY130478,CY130481
A/mallard/Interior Alaska/10BM01929R0/2010(H10N7),10BM01929,1837-23135,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.9057,148.79779,2206,15-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY44,1061,15-Jun-10,N,,SUMMER,1258,116.5,53.1,300,,0,1430,10BM21430,10BM31430,ROCKET NET CAMP POINT SOUTH,ROCKET NET,,,,,,,,,,,,,,,10BM01929,10BM01930,,CY130371,CY130370,CY130369,CY130364,CY130367,CY130366,CY130365,CY130368
A/mallard/Interior Alaska/10BM02111R0/2010(H12N5),10BM02111,1837-23108,,,,MALL,Anas platyrhynchos,F,A,H,AHY,AHY,W,M,C,64.9057,148.79779,2328,10-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY42,996,10-Jun-10,N,,SUMMER,1097,109,53.9,265,,0,1401,10BM21401,10BM31401,ROCKET NET CAMP POINT SOUTH,ROCKET NET,,,,,,,,,,,,,,,10BM02111,10BM02112,,CY130379,CY130378,CY130377,CY130372,CY130375,CY130374,CY130373,CY130376
A/mallard/Interior Alaska/10BM02530R0/2010(H4N6),10BM02530,1837-23172,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,OP,64.87062,148.84155,2304,22-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY49,1178,22-Jun-10,N,,SUMMER,1247,110.9,53.2,275,,0,351,10BM20351,10BM30351,ROCKET NET LITTLE MINTO,ROCKET NET,,,,,,,,,,,,,,,10BM02529,10BM02530,,CY130387,CY130386,CY130385,CY130380,CY130383,CY130382,CY130381,CY130384
A/northern pintail/Interior Alaska/10BM02539R0/2010(H7N3),10BM02539,1146-21098,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87062,148.84155,2304,22-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY49,1182,22-Jun-10,N,,SUMMER,863,99.4,47,245,,0,354,10BM20354,10BM30354,ROCKET NET LITTLE MINTO,ROCKET NET,,,,,,,,,,,,,,,10BM02539,10BM02540,,CY130395,CY130394,CY130393,CY130388,CY130391,CY130390,CY130389,CY130392
A/northern pintail/Interior Alaska/10BM02561R0/2010(H12N5),10BM02561,1146-21109,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87062,148.84155,2304,22-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY50,1193,22-Jun-10,N,,SUMMER,732,94,44.9,255,,1,,,,ROCKET NET LITTLE MINTO,ROCKET NET,,,,,,,,,,,,,,,10BM02561,10BM02562,,CY130231,CY130230,CY130229,CY130224,CY130227,CY130226,CY130225,CY130228
A/northern pintail/Interior Alaska/10BM02585R0/2010(H4N6),10BM02585,1096-79136,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87062,148.84155,2304,22-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCYR3,45,,Y,F,SUMMER,683,99.8,47.6,255,,0,,,,ROCKET NET LITTLE MINTO,ROCKET NET,,,,,,,,,,,,,,,10BM02585,10BM02586,,CY130428,CY130427,CY130426,CY130421,CY130424,CY130423,CY130422,CY130425
A/northern shoveler/Interior Alaska/10BM02593R0/2010(H4N6),10BM02593,1095-33536,,CB24,,NSHO,Anas clypeata,F,A,H,AHY,AHY,W,M,F,64.91254,148.76413,1700,23-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",NC-CB24,154,23-Jun-10,,,NESTING HEN,,,,,,,,,,WHALE TAIL,FLUSH,,,,,,,,E,,,,,,,,,,CY130436,CY130435,CY130434,CY130429,CY130432,CY130431,CY130430,CY130433
A/mallard/Interior Alaska/10BM02644R0/2010(H4N6),10BM02644,1837-23190,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.9057,148.79779,42,25-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCY 51,1218,25-Jun-10,N,,SUMMER,1153,110.5,51.8,274,,1,383,10BM20383,10BM30383,ROCKET NET CAMP POINT SOUTH,ROCKET NET,,,,,,,,,,,,,,,10BM02644,10BM02645,,CY130444,CY130443,CY130442,CY130437,CY130440,CY130439,CY130438,CY130441
