,Sink,Source,Time Class,Time Delta,Transmission Type,Weight,Host1,Isolation Date1,State1,Subtype1,Host2,Isolation Date2,State2,Subtype2
0,A/American black duck/New Brunswick/00321/2010,A/mallard/New Brunswick/00349/2010,Direct Transmission,0,Inter-Species,7.990189,IRD:Mallard/Avian,2010-08-08,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H1N1
1,A/American black duck/New Brunswick/00322/2010,A/American black duck/Prince Edward Island/00673/2010,Direct Transmission,4,Intra-Species,7.836073,IRD:American Black Duck/Avian,2010-08-04,Prince Edward Island,H3N8,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H3N8
2,A/American black duck/New Brunswick/00326/2010,A/mallard/New Brunswick/00324/2010,Direct Transmission,0,Inter-Species,7.998972999999999,IRD:Mallard/Avian,2010-08-08,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H1N1
3,A/American black duck/New Brunswick/00328/2010,A/green-winged teal/New Brunswick/00333/2010,Direct Transmission,0,Inter-Species,7.998774000000001,IRD:Green-winged Teal/Avian,2010-08-08,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H1N1
4,A/American black duck/New Brunswick/00344/2010,A/mallard/Nova Scotia/00372/2010,Direct Transmission,0,Inter-Species,7.9977839999999984,IRD:Mallard/Avian,2010-08-08,Nova Scotia,H7N7,IRD:American Black Duck/Avian,2010-08-08,New Brunswick,H7N7
5,A/American black duck/New Brunswick/00385/2010,A/mallard/New Brunswick/00324/2010,Direct Transmission,1,Inter-Species,7.994827000000001,IRD:Mallard/Avian,2010-08-08,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-08-09,New Brunswick,H1N1
6,A/American black duck/New Brunswick/00410/2010,A/mallard/New Brunswick/00324/2010,Direct Transmission,2,Inter-Species,7.9945939999999975,IRD:Mallard/Avian,2010-08-08,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H1N1
7,A/American black duck/New Brunswick/00424/2010,A/American black duck/New Brunswick/00425/2010,Direct Transmission,0,Intra-Species,7.998462,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H3N8
8,A/American black duck/New Brunswick/00425/2010,A/American black duck/New Brunswick/00424/2010,Direct Transmission,0,Intra-Species,7.998462,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-10,New Brunswick,H3N8
9,A/American black duck/New Brunswick/00454/2010,A/American black duck/New Brunswick/00467/2010,Direct Transmission,-1,Intra-Species,7.998828,IRD:American Black Duck/Avian,2010-08-12,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-11,New Brunswick,H3N8
