,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
0,2008-10-26 00:00:00,Yes,USA,IRD:American Black Duck/Avian,CY079459,CY079458,CY079457,CY079452,CY079455,CY079454,CY079453,CY079456,Illinois,A/American black duck/Illinois/08OS2688/2008,H5N2
1,2009-11-29 00:00:00,Yes,USA,IRD:American Black Duck/Avian,CY097541,CY097540,CY097539,CY097534,CY097537,CY097536,CY097535,CY097538,Illinois,A/American black duck/Illinois/4119/2009,H8N4
2,2010-08-08 00:00:00,Yes,Canada,IRD:Avian,CY138647,CY138646,CY138645,CY138640,CY138643,CY138642,CY138641,CY138644,-N/A-,A/American black duck/New Brunswick/00321/2010,H1N1
3,2010-08-08 00:00:00,Yes,Canada,IRD:Avian,CY138655,CY138654,CY138653,CY138648,CY138651,CY138650,CY138649,CY138652,-N/A-,A/American black duck/New Brunswick/00322/2010,H3N8
4,2010-08-08 00:00:00,Yes,Canada,IRD:Avian,CY138671,CY138670,CY138669,CY138664,CY138667,CY138666,CY138665,CY138668,-N/A-,A/American black duck/New Brunswick/00326/2010,H1N1
5,2010-08-08 00:00:00,Yes,Canada,IRD:Avian,CY138679,CY138678,CY138677,CY138672,CY138675,CY138674,CY138673,CY138676,-N/A-,A/American black duck/New Brunswick/00328/2010,H1N1
6,2010-08-08 00:00:00,Yes,Canada,IRD:Avian,CY138776,CY138775,CY138774,CY138769,CY138772,CY138771,CY138770,CY138773,-N/A-,A/American black duck/New Brunswick/00344/2010,H7N7
7,2010-08-09 00:00:00,Yes,Canada,IRD:Avian,CY138824,CY138823,CY138822,CY138817,CY138820,CY138819,CY138818,CY138821,-N/A-,A/American black duck/New Brunswick/00385/2010,H1N1
8,2010-08-10 00:00:00,Yes,Canada,IRD:Avian,CY138849,CY138848,CY138847,CY138842,CY138845,CY138844,CY138843,CY138846,-N/A-,A/American black duck/New Brunswick/00410/2010,H1N1
9,2010-08-10 00:00:00,Yes,Canada,IRD:Avian,CY138857,CY138856,CY138855,CY138850,CY138853,CY138852,CY138851,CY138854,-N/A-,A/American black duck/New Brunswick/00424/2010,H3N8
10,2010-08-10 00:00:00,Yes,Canada,IRD:Avian,CY138865,CY138864,CY138863,CY138858,CY138861,CY138860,CY138859,CY138862,-N/A-,A/American black duck/New Brunswick/00425/2010,H3N8
11,2010-08-11 00:00:00,Yes,Canada,IRD:Avian,CY138873,CY138872,CY138871,CY138866,CY138869,CY138868,CY138867,CY138870,-N/A-,A/American black duck/New Brunswick/00454/2010,H3N8
12,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138052,CY138051,CY138050,CY138045,CY138048,CY138047,CY138046,CY138049,-N/A-,A/American black duck/New Brunswick/00464/2010,H4N6
13,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138881,CY138880,CY138879,CY138874,CY138877,CY138876,CY138875,CY138878,-N/A-,A/American black duck/New Brunswick/00467/2010,H3N8
14,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138889,CY138888,CY138887,CY138882,CY138885,CY138884,CY138883,CY138886,-N/A-,A/American black duck/New Brunswick/00468/2010,H4N6
15,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138897,CY138896,CY138895,CY138890,CY138893,CY138892,CY138891,CY138894,-N/A-,A/American black duck/New Brunswick/00469/2010,H4N6
16,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138905,CY138904,CY138903,CY138898,CY138901,CY138900,CY138899,CY138902,-N/A-,A/American black duck/New Brunswick/00470/2010,H4N6
17,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138913,CY138912,CY138911,CY138906,CY138909,CY138908,CY138907,CY138910,-N/A-,A/American black duck/New Brunswick/00471/2010,H10N6
18,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138921,CY138920,CY138919,CY138914,CY138917,CY138916,CY138915,CY138918,-N/A-,A/American black duck/New Brunswick/00472/2010,H4N6
19,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138060,CY138059,CY138058,CY138053,CY138056,CY138055,CY138054,CY138057,-N/A-,A/American black duck/New Brunswick/00473/2010,H4N6
20,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138940,CY138939,CY138938,CY138933,CY138936,CY138935,CY138934,CY138937,-N/A-,A/American black duck/New Brunswick/00477/2010,H10N6
21,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138948,CY138947,CY138946,CY138941,CY138944,CY138943,CY138942,CY138945,-N/A-,A/American black duck/New Brunswick/00478/2010,H4N6
22,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138956,CY138955,CY138954,CY138949,CY138952,CY138951,CY138950,CY138953,-N/A-,A/American black duck/New Brunswick/00481/2010,H4N6
23,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138964,CY138963,CY138962,CY138957,CY138960,CY138959,CY138958,CY138961,-N/A-,A/American black duck/New Brunswick/00484/2010,H3N8
24,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138972,CY138971,CY138970,CY138965,CY138968,CY138967,CY138966,CY138969,-N/A-,A/American black duck/New Brunswick/00485/2010,H3N8
25,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY138991,CY138990,CY138989,CY138984,CY138987,CY138986,CY138985,CY138988,-N/A-,A/American black duck/New Brunswick/00487/2010,H4N8
26,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY139039,CY139038,CY139037,CY139032,CY139035,CY139034,CY139033,CY139036,-N/A-,A/American black duck/New Brunswick/00499/2010,H4N6
27,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY139047,CY139046,CY139045,CY139040,CY139043,CY139042,CY139041,CY139044,-N/A-,A/American black duck/New Brunswick/00500/2010,H3N8
28,2010-08-12 00:00:00,Yes,Canada,IRD:Avian,CY139058,CY139057,CY139055,CY139048,CY139052,CY139051,CY139049,CY139054,-N/A-,A/American black duck/New Brunswick/00502/2010,(H3)
29,2010-08-12 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139066,CY139065,CY139064,CY139059,CY139062,CY139061,CY139060,CY139063,-N/A-,A/American black duck/New Brunswick/00520/2010,H4N6
30,2010-08-13 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139074,CY139073,CY139072,CY139067,CY139070,CY139069,CY139068,CY139071,-N/A-,A/American black duck/New Brunswick/00522/2010,H3N8
31,2010-08-13 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139082,CY139081,CY139080,CY139075,CY139078,CY139077,CY139076,CY139079,-N/A-,A/American black duck/New Brunswick/00523/2010,H4N6
32,2010-08-13 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY138072,CY138071,CY138070,CY138065,CY138068,CY138067,CY138066,CY138069,-N/A-,A/American black duck/New Brunswick/00525/2010,H3N8
33,2010-08-14 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139090,CY139089,CY139088,CY139083,CY139086,CY139085,CY139084,CY139087,-N/A-,A/American black duck/New Brunswick/00558/2010,H3N8
34,2010-08-15 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139098,CY139097,CY139096,CY139091,CY139094,CY139093,CY139092,CY139095,-N/A-,A/American black duck/New Brunswick/00587/2010,H4N6
35,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139114,CY139113,CY139112,CY139107,CY139110,CY139109,CY139108,CY139111,-N/A-,A/American black duck/New Brunswick/00608/2010,H3N8
36,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139123,CY139122,CY139121,CY139115,CY139119,CY139118,CY139116,CY139120,-N/A-,A/American black duck/New Brunswick/00610/2010,(N8)
37,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139131,CY139130,CY139129,CY139124,CY139127,CY139126,CY139125,CY139128,-N/A-,A/American black duck/New Brunswick/00612/2010,H10N7
38,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139139,CY139138,CY139137,CY139132,CY139135,CY139134,CY139133,CY139136,-N/A-,A/American black duck/New Brunswick/00614/2010,H3N8
39,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139147,CY139146,CY139145,CY139140,CY139143,CY139142,CY139141,CY139144,-N/A-,A/American black duck/New Brunswick/00615/2010,H4N8
40,2010-08-16 00:00:00,Yes,Canada,IRD:Avian,CY139155,CY139154,CY139153,CY139148,CY139151,CY139150,CY139149,CY139152,-N/A-,A/American black duck/New Brunswick/00616/2010,H3N8
41,2010-08-16 00:00:00,Yes,Canada,IRD:Avian,CY139172,CY139171,CY139170,CY139165,CY139168,CY139167,CY139166,CY139169,-N/A-,A/American black duck/New Brunswick/00618/2010,H3N6
42,2010-08-16 00:00:00,Yes,Canada,IRD:Avian,CY139180,CY139179,CY139178,CY139173,CY139176,CY139175,CY139174,CY139177,-N/A-,A/American black duck/New Brunswick/00619/2010,H3N6
43,2010-08-16 00:00:00,Yes,Canada,IRD:Avian,CY139188,CY139187,CY139186,CY139181,CY139184,CY139183,CY139182,CY139185,-N/A-,A/American black duck/New Brunswick/00620/2010,H3N6
44,2010-08-16 00:00:00,Yes,Canada,IRD:Avian,CY139198,CY139197,CY139196,CY139190,CY139194,CY139193,CY139191,CY139195,-N/A-,A/American black duck/New Brunswick/00621/2010,(N6)
45,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139206,CY139205,CY139204,CY139199,CY139202,CY139201,CY139200,CY139203,-N/A-,A/American black duck/New Brunswick/00622/2010,H3N6
46,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139214,CY139213,CY139212,CY139207,CY139210,CY139209,CY139208,CY139211,-N/A-,A/American black duck/New Brunswick/00623/2010,H4N8
47,2010-08-16 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY139222,CY139221,CY139220,CY139215,CY139218,CY139217,CY139216,CY139219,-N/A-,A/American black duck/New Brunswick/00624/2010,H3N6
48,2010-08-09 00:00:00,Yes,Canada,IRD:Avian,CY139246,CY139245,CY139244,CY139239,CY139242,CY139241,CY139240,CY139243,-N/A-,A/American black duck/New Brunswick/00687/2010,H3N8
49,2010-09-13 00:00:00,Yes,Canada,IRD:Avian,CY139334,CY139333,CY139332,CY139327,CY139330,CY139329,CY139328,CY139331,-N/A-,A/American black duck/New Brunswick/00867/2010,H5N2
50,2010-09-13 00:00:00,Yes,Canada,IRD:Avian,CY139376,CY139375,CY139374,CY139369,CY139372,CY139371,CY139370,CY139373,-N/A-,A/American black duck/New Brunswick/00886/2010,H4N9
51,2010-09-14 00:00:00,Yes,Canada,IRD:Avian,CY139392,CY139391,CY139390,CY139385,CY139388,CY139387,CY139386,CY139389,-N/A-,A/American black duck/New Brunswick/00906/2010,H10N7
52,2010-09-14 00:00:00,Yes,Canada,IRD:Avian,CY139400,CY139399,CY139398,CY139393,CY139396,CY139395,CY139394,CY139397,-N/A-,A/American black duck/New Brunswick/00909/2010,H10N7
53,2010-09-15 00:00:00,Yes,Canada,IRD:Avian,CY139428,CY139427,CY139426,CY139421,CY139424,CY139423,CY139422,CY139425,-N/A-,A/American black duck/New Brunswick/00924/2010,H10N7
54,2010-09-15 00:00:00,Yes,Canada,IRD:Avian,CY138080,CY138079,CY138078,CY138073,CY138076,CY138075,CY138074,CY138077,-N/A-,A/American black duck/New Brunswick/00949/2010,H4N6
55,2010-09-15 00:00:00,Yes,Canada,IRD:Avian,CY139458,CY139457,CY139456,CY139450,CY139454,CY139453,CY139451,CY139455,-N/A-,A/American black duck/New Brunswick/00952/2010,(H4)
56,2010-09-15 00:00:00,Yes,Canada,IRD:Avian,CY139466,CY139465,CY139464,CY139459,CY139462,CY139461,CY139460,CY139463,-N/A-,A/American black duck/New Brunswick/00953/2010,H3N8
57,2010-09-15 00:00:00,Yes,Canada,IRD:Avian,CY138088,CY138087,CY138086,CY138081,CY138084,CY138083,CY138082,CY138085,-N/A-,A/American black duck/New Brunswick/00955/2010,H4N8
58,2010-09-16 00:00:00,Yes,Canada,IRD:Avian,CY139496,CY139495,CY139494,CY139489,CY139492,CY139491,CY139490,CY139493,-N/A-,A/American black duck/New Brunswick/00971/2010,H10N6
59,2010-09-16 00:00:00,Yes,Canada,IRD:Avian,CY139512,CY139511,CY139510,CY139505,CY139508,CY139507,CY139506,CY139509,-N/A-,A/American black duck/New Brunswick/00986/2010,H4N6
60,2010-09-16 00:00:00,Yes,Canada,IRD:Avian,CY139538,CY139537,CY139536,CY139531,CY139534,CY139533,CY139532,CY139535,-N/A-,A/American black duck/New Brunswick/00991/2010,H4N6
61,2010-09-17 00:00:00,Yes,Canada,IRD:Avian,CY139557,CY139556,CY139555,CY139550,CY139553,CY139552,CY139551,CY139554,-N/A-,A/American black duck/New Brunswick/00998/2010,H12N6
62,2009-08-09 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY129021,CY129020,CY129019,CY129014,CY129017,CY129016,CY129015,CY129018,-N/A-,A/American black duck/New Brunswick/03395/2009,H3N8
63,2009-08-09 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128989,CY128988,CY128987,CY128982,CY128985,CY128984,CY128983,CY128986,-N/A-,A/American black duck/New Brunswick/03398/2009,H3N8
64,2009-08-10 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY129013,CY129012,CY129011,CY129006,CY129009,CY129008,CY129007,CY129010,-N/A-,A/American black duck/New Brunswick/03408/2009,H3N8
65,2009-08-12 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128957,CY128956,CY128955,CY128950,CY128953,CY128952,CY128951,CY128954,-N/A-,A/American black duck/New Brunswick/03451/2009,H3N9
66,2009-09-09 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY129037,CY129036,CY129035,CY129030,CY129033,CY129032,CY129031,CY129034,-N/A-,A/American black duck/New Brunswick/03495/2009,H3N8
67,2009-09-10 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY129029,CY129028,CY129027,CY129022,CY129025,CY129024,CY129023,CY129026,-N/A-,A/American black duck/New Brunswick/03509/2009,H3N8
68,2009-09-10 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128981,CY128980,CY128979,CY128974,CY128977,CY128976,CY128975,CY128978,-N/A-,A/American black duck/New Brunswick/03511/2009,H4N6
69,2009-09-11 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128997,CY128996,CY128995,CY128990,CY128993,CY128992,CY128991,CY128994,-N/A-,A/American black duck/New Brunswick/03552/2009,H4N6
70,2009-09-11 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128973,CY128972,CY128971,CY128966,CY128969,CY128968,CY128967,CY128970,-N/A-,A/American black duck/New Brunswick/03553/2009,H4N6
71,2009-09-11 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128555,CY128554,CY128553,CY128548,CY128551,CY128550,CY128549,CY128552,-N/A-,A/American black duck/New Brunswick/03554/2009,H4N6
72,2009-09-11 00:00:00,Yes,Canada,IRD:American Black Duck/Avian,CY128539,CY128538,CY128537,CY128532,CY128535,CY128534,CY128533,CY128536,-N/A-,A/American black duck/New Brunswick/03556/2009,H4N6
