,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
0,1/4/2010,Yes,USA,IRD:Human,KC781898,KC781897,KC781900,KC781903,KC781899,KC780619,KC781902,KC781896,Alabama,A/Alabama/01/2010,H1N1
1,4/27/2009,Yes,USA,IRD:Human,GQ200229,GQ894930,GQ200230,GQ894929,GQ894931,GQ323480,GQ457474,GQ168624,Alabama,A/Alabama/02/2009(H1N1),H1N1
2,3/1/2010,Yes,USA,IRD:Human,KC781165,KC781164,KC781166,KC781169,KC781167,KC781168,KC781170,KC781171,Alabama,A/Alabama/03/2010,H1N1
3,2/7/2010,Yes,USA,IRD:Human,KC781391,KC781385,KC781392,KC781389,KC781386,KC781387,KC781388,KC781390,Alaska,A/Alaska/01/2010,H1N1
4,3/1/2011,Yes,USA,IRD:Human,KC883400,KC883401,KC883404,KC883402,KC883403,KC883397,KC883398,KC883399,Alaska,A/Alaska/15/2011,H3N2
5,9/11/2009,Yes,USA,IRD:Human,KC780109,KC780110,KC780105,KC780106,KC780104,KC780108,KC780107,KC780103,Alaska,A/Alaska/38/2009,H1N1
6,12/4/2009,Yes,USA,IRD:Human,KC780778,KC780775,KC780779,KC780781,KC780776,KC780780,KC780782,KC780777,Alaska,A/Alaska/47/2009,H1N1
7,11/29/2009,Yes,USA,IRD:American Black Duck/Avian,CY097541,CY097540,CY097539,CY097534,CY097537,CY097536,CY097535,CY097538,Illinois,A/American black duck/Illinois/4119/2009(H8N4),H8N4
8,8/8/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138647,CY138646,CY138645,CY138640,CY138643,CY138642,CY138641,CY138644,-N/A-,A/American black duck/New Brunswick/00321/2010,H1N1
9,8/8/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138655,CY138654,CY138653,CY138648,CY138651,CY138650,CY138649,CY138652,-N/A-,A/American black duck/New Brunswick/00322/2010,H3N8
10,8/8/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138671,CY138670,CY138669,CY138664,CY138667,CY138666,CY138665,CY138668,-N/A-,A/American black duck/New Brunswick/00326/2010,H1N1
11,8/8/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138679,CY138678,CY138677,CY138672,CY138675,CY138674,CY138673,CY138676,-N/A-,A/American black duck/New Brunswick/00328/2010,H1N1
12,8/8/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138776,CY138775,CY138774,CY138769,CY138772,CY138771,CY138770,CY138773,-N/A-,A/American black duck/New Brunswick/00344/2010,H7N7
13,8/9/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138824,CY138823,CY138822,CY138817,CY138820,CY138819,CY138818,CY138821,-N/A-,A/American black duck/New Brunswick/00385/2010,H1N1
14,8/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138849,CY138848,CY138847,CY138842,CY138845,CY138844,CY138843,CY138846,-N/A-,A/American black duck/New Brunswick/00410/2010,H1N1
15,8/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138857,CY138856,CY138855,CY138850,CY138853,CY138852,CY138851,CY138854,-N/A-,A/American black duck/New Brunswick/00424/2010,H3N8
17,8/11/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138873,CY138872,CY138871,CY138866,CY138869,CY138868,CY138867,CY138870,-N/A-,A/American black duck/New Brunswick/00454/2010,H3N8
18,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138052,CY138051,CY138050,CY138045,CY138048,CY138047,CY138046,CY138049,-N/A-,A/American black duck/New Brunswick/00464/2010,H4N6
19,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138881,CY138880,CY138879,CY138874,CY138877,CY138876,CY138875,CY138878,-N/A-,A/American black duck/New Brunswick/00467/2010,H3N8
20,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138889,CY138888,CY138887,CY138882,CY138885,CY138884,CY138883,CY138886,-N/A-,A/American black duck/New Brunswick/00468/2010,H4N6
21,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138897,CY138896,CY138895,CY138890,CY138893,CY138892,CY138891,CY138894,-N/A-,A/American black duck/New Brunswick/00469/2010,H4N6
22,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138905,CY138904,CY138903,CY138898,CY138901,CY138900,CY138899,CY138902,-N/A-,A/American black duck/New Brunswick/00470/2010,H4N6
23,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138913,CY138912,CY138911,CY138906,CY138909,CY138908,CY138907,CY138910,-N/A-,A/American black duck/New Brunswick/00471/2010,H10N6
24,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138921,CY138920,CY138919,CY138914,CY138917,CY138916,CY138915,CY138918,-N/A-,A/American black duck/New Brunswick/00472/2010,H4N6
25,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138060,CY138059,CY138058,CY138053,CY138056,CY138055,CY138054,CY138057,-N/A-,A/American black duck/New Brunswick/00473/2010,H4N6
26,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138932,CY138931,CY138930,CY138922,CY138927,CY138925,CY138924,CY138928,-N/A-,A/American black duck/New Brunswick/00476/2010,(H3)
27,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138940,CY138939,CY138938,CY138933,CY138936,CY138935,CY138934,CY138937,-N/A-,A/American black duck/New Brunswick/00477/2010,H10N6
28,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138948,CY138947,CY138946,CY138941,CY138944,CY138943,CY138942,CY138945,-N/A-,A/American black duck/New Brunswick/00478/2010,H4N6
29,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138956,CY138955,CY138954,CY138949,CY138952,CY138951,CY138950,CY138953,-N/A-,A/American black duck/New Brunswick/00481/2010,H4N6
30,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138964,CY138963,CY138962,CY138957,CY138960,CY138959,CY138958,CY138961,-N/A-,A/American black duck/New Brunswick/00484/2010,H3N8
31,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138972,CY138971,CY138970,CY138965,CY138968,CY138967,CY138966,CY138969,-N/A-,A/American black duck/New Brunswick/00485/2010,H3N8
33,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138991,CY138990,CY138989,CY138984,CY138987,CY138986,CY138985,CY138988,-N/A-,A/American black duck/New Brunswick/00487/2010,H4N8
35,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139039,CY139038,CY139037,CY139032,CY139035,CY139034,CY139033,CY139036,-N/A-,A/American black duck/New Brunswick/00499/2010,H4N6
36,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139047,CY139046,CY139045,CY139040,CY139043,CY139042,CY139041,CY139044,-N/A-,A/American black duck/New Brunswick/00500/2010,H3N8
38,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139066,CY139065,CY139064,CY139059,CY139062,CY139061,CY139060,CY139063,-N/A-,A/American black duck/New Brunswick/00520/2010(H4N6),H4N6
39,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139074,CY139073,CY139072,CY139067,CY139070,CY139069,CY139068,CY139071,-N/A-,A/American black duck/New Brunswick/00522/2010(H3N8),H3N8
40,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139082,CY139081,CY139080,CY139075,CY139078,CY139077,CY139076,CY139079,-N/A-,A/American black duck/New Brunswick/00523/2010(H4N6),H4N6
41,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138072,CY138071,CY138070,CY138065,CY138068,CY138067,CY138066,CY138069,-N/A-,A/American black duck/New Brunswick/00525/2010(H3N8),H3N8
42,8/14/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139090,CY139089,CY139088,CY139083,CY139086,CY139085,CY139084,CY139087,-N/A-,A/American black duck/New Brunswick/00558/2010(H3N8),H3N8
43,8/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139098,CY139097,CY139096,CY139091,CY139094,CY139093,CY139092,CY139095,-N/A-,A/American black duck/New Brunswick/00587/2010(H4N6),H4N6
44,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139114,CY139113,CY139112,CY139107,CY139110,CY139109,CY139108,CY139111,-N/A-,A/American black duck/New Brunswick/00608/2010(H3N8),H3N8
45,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139123,CY139122,CY139121,CY139115,CY139119,CY139117,CY139116,CY139120,-N/A-,A/American black duck/New Brunswick/00610/2010(mixed),(H4)
46,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139131,CY139130,CY139129,CY139124,CY139127,CY139126,CY139125,CY139128,-N/A-,A/American black duck/New Brunswick/00612/2010(H10N7),H10N7
47,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139139,CY139138,CY139137,CY139132,CY139135,CY139134,CY139133,CY139136,-N/A-,A/American black duck/New Brunswick/00614/2010(H3N8),H3N8
48,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139147,CY139146,CY139145,CY139140,CY139143,CY139142,CY139141,CY139144,-N/A-,A/American black duck/New Brunswick/00615/2010(H4N8),H4N8
49,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139155,CY139154,CY139153,CY139148,CY139151,CY139150,CY139149,CY139152,-N/A-,A/American black duck/New Brunswick/00616/2010,H3N8
