Sample ID,Common Name,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1
9BM2925,A/northern shoveler/Interior Alaska/9BM2925R0/2009(H8N4),1065-35192,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,C,64.90482,148.84578,1925,16-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",D32,757,16-Jul-09,N,,DUCKLING,485,108.7,43.9,,59.9,,,,,HAWK LAKE,DRIVE TRAP,"VIAL 2925 HAD ADDITIONAL CLOACAL SWAB FROM BAND 1837-22529 ACCIDENTALLY PLACE INSIDE, THEN REMOVED",,,,,,,,,,,10-Feb,UNKNOWN,,,,
9BM2943,A/northern shoveler/Interior Alaska/9BM2943R1/2009(H4N6),1065-35199,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,C,64.93548,148.80176,2217,16-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",D32,766,16-Jul-09,N,,DUCKLING,520,103.2,44.5,,57.6,,,,,SAM BERRY,DRIVE TRAP,,,,,,,,,,,,08-Aug,UNKNOWN,,,,
9BM4905,A/northern shoveler/Interior Alaska/9BM4905R0/2009(H4N6),1065-35467,,,,NSHO,Anas clypeata,M,A,H,AHY,AHY,W,M,C,64.96447,148.75418,1924,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",MD14,1561,29-Jul-09,N,,MOLTER,602,111.1,43,133,,,,,,WHINEY LAKE,DRIVE TRAP,,,,,,,,,,,,,,,,,
10BM02892,A/northern shoveler/Interior Alaska/10BM02892R0/2010(H4N6),1095-33527,,CA19,,NSHO,Anas clypeata,F,A,H,AHY,AHY,W,M,F,64.91253,148.7762,1529,30-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",NC-CA19,149,12-Jul-10,,,NESTING HEN,,,,,,,,,,WHALE TAIL,FLUSH,,,,,,,,E,,,,,,,,,
10BM02593,A/northern shoveler/Interior Alaska/10BM02593R0/2010(H4N6),1095-33536,,CB24,,NSHO,Anas clypeata,F,A,H,AHY,AHY,W,M,F,64.91254,148.76413,1700,23-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",NC-CB24,154,23-Jun-10,,,NESTING HEN,,,,,,,,,,WHALE TAIL,FLUSH,,,,,,,,E,,,,,,,,,
10BM05382,A/northern shoveler/Interior Alaska/10BM05382R0/2010(H3N8),1095-33820,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,C,64.90481,148.87319,1751,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG37,877,25-Jul-10,N,,DUCKLING,463,103,42,,59.7,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,7/8+,ABSENT,,10BM05382,10BM05383,
10BM05408,A/northern shoveler/Interior Alaska/10BM05408R0/2010(H4N6),1095-33827,,,,NSHO,Anas clypeata,F,A,H,2B,HY,W,M,C,64.90481,148.87319,1855,25-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG38,890,25-Jul-10,N,,DUCKLING,325,86.2,39.6,,46,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,07-Jul,PRESENT,,10BM05408,10BM05409,
10BM05487,A/northern shoveler/Interior Alaska/10BM05487R0/2010(H3N8),1095-33862,,,,NSHO,Anas clypeata,M,A,H,2C,HY,W,M,OP,64.89838,148.86886,1426,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG40,936,26-Jul-10,N,,DUCKLING,462,104.1,43.5,,56.7,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05486,10BM05487,
10BM05491,A/northern shoveler/Interior Alaska/10BM05491R0/2010(H3N8),1095-33864,,,,NSHO,Anas clypeata,F,A,H,2A,HY,W,M,OP,64.89838,148.86886,1426,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG40,938,26-Jul-10,N,,DUCKLING,246,78.8,38.4,,41.1,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05490,10BM05491,
10BM05638,A/northern shoveler/Interior Alaska/10BM05638R0/2010(H3N8),1095-33872,,,,NSHO,Anas clypeata,M,A,H,2B,HY,W,M,C,64.90741,148.88404,1826,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG44,1005,26-Jul-10,N,,DUCKLING,416,98,42.6,,52.6,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05638,10BM05639,
10BM05649,A/northern shoveler/Interior Alaska/10BM05649R0/2010(H3N8),1095-33877,,,,NSHO,Anas clypeata,M,A,H,2A,HY,W,M,OP,64.90741,148.88404,1826,26-Jul-10,7,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DKNG44,1010,26-Jul-10,N,,DUCKLING,300,85.6,39.3,,42,,,,,HUNTER LAKE,DRIVE TRAP,,,,,,,,,,,,,,,10BM05648,10BM05649,
9BM7398,A/northern pintail/Interior Alaska/9BM7398R0/2009(H10N7),1096-19042,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93795,148.80226,1056,07-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB12,244,U,Y,F,MIGRANT,892,107.1,50.7,263,,4,,,,SAM BERRY WATER,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM7688,A/northern pintail/Interior Alaska/9BM7688R0/2009(H10N7),1096-19042,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93795,148.80226,1025,08-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB13,275,U,Y,F,MIGRANT,844,107,51.8,265,,0,,,,SAM BERRY WATER,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM7258,A/northern pintail/Interior Alaska/9BM7258R0/2009(H3N8),1096-19075,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91893,148.80943,2315,06-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB11,221,U,Y,F,MIGRANT,618,94.7,45,237,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM4646,A/northern pintail/Interior Alaska/9BM4646R0/2009(H10N7),1096-19442,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,OP,64.93807,148.80484,1200,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB3,44,U,Y,F,MIGRANT,777,96.8,47.5,257,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,
10BM02585,A/northern pintail/Interior Alaska/10BM02585R0/2010(H4N6),1096-79136,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.87062,148.84155,2304,22-Jun-10,6,2010,Brandt W. Meixell,"Minto Flats, USA, AK",DCYR3,45,,Y,F,SUMMER,683,99.8,47.6,255,,0,,,,ROCKET NET LITTLE MINTO,ROCKET NET,,,,,,,,,,,,,,,10BM02585,10BM02586,
9BM10236,A/northern pintail/Interior Alaska/9BM10236R0/2009(H10N7),1096-79167,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.91926,148.80902,946,16-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB30,715,U,Y,F,MIGRANT,923,105.5,51.1,266,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM8483,A/northern pintail/Interior Alaska/9BM8483R2/2009(H10N7),1096-80040,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.909,148.85644,930,09-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB17,382,U,Y,F,MIGRANT,639,98.5,48.7,241,,1,,,,HUNTER LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM12647,A/northern pintail/Interior Alaska/9BM12647R0/2009(H3N8),1096-80044,,,BD42,NOPI,Anas acuta,M,K,U,HY,HY,W,M,C,64.91465,148.86543,1255,05-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS8,186,U,Y,F,HUNTER-SHOT,927,106,47.3,265,,,669,9BM20669,9BM30669,DIVER ISLAND,SHOT,,,,,05-Sep-09,0830-1200,,,,,,,,,,,
9BM8815,A/northern pintail/Interior Alaska/9BM8815R0/2009(H4N6),1096-80058,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91926,148.80902,929,11-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB19,426,U,Y,F,MIGRANT,902,106.3,49.2,263,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM11719,A/northern pintail/Interior Alaska/9BM11719R1/2009(H4N6),1096-80065,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91926,148.80902,1115,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB43,1053,U,Y,F,MIGRANT,659,95.8,45.4,244,,0,,,,WACKY DUCK NECK E BAIT 3,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM12700,A/northern pintail/Interior Alaska/9BM12700R0/2009(H3N8),1096-80084,,,BD55,NOPI,Anas acuta,F,K,U,HY,HY,W,M,C,64.87968,148.86122,911,06-Sep-09,9,2009,Brandt W. Meixell,"Minto Flats, USA, AK",HS9,213,U,Y,F,HUNTER-SHOT,872,98.6,45.1,255,,,696,9BM20696,9BM30696,LITTLE MINTO W,SHOT,,,,,06-Sep-09,0600-0845,,,,,,,,,,,
9BM11789,A/northern pintail/Interior Alaska/9BM11789R0/2009(H3N8),1096-80310,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92091,148.84015,1321,19-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB44,1067,U,Y,F,MIGRANT,737,107.2,51.1,266,,0,,,,ROUND LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM11556,A/northern pintail/Interior Alaska/9BM11556R0/2009(H8N4),1096-80425,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.88316,148.84933,2105,19-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP13,280,U,,,MIGRANT,921,102.8,50.4,267,,2,,,,MALLARD HOLE,BAIT TRAP,,,,,,,,,,,,,,,,,
9BM11564,A/northern pintail/Interior Alaska/9BM11564R0/2009(H10N4),1096-80433,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.88316,148.84933,2105,19-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP13,284,U,,,MIGRANT,793,95,48.7,251,,0,,,,MALLARD HOLE,BAIT TRAP,,,,,,,,,,,,,,,,,
10BM09832,A/northern pintail/Interior Alaska/10BM09832R0/2010(H7N3),1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2339,07-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR17,561,,Y,F,FALL,787,103.8,48.2,260,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM09832,10BM09833,
10BM10166,A/northern pintail/Interior Alaska/10BM10166R0/2010(H7N3),1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2241,08-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR20,627,,Y,F,FALL,753,103.6,48.7,261,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10166,10BM10167,
10BM10476,A/northern pintail/Interior Alaska/10BM10476R0/2010(H7N3),1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92637,148.81874,1803,09-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR23,703,,Y,F,FALL,724,104,47.8,262,,0,,,,ROCKET NET WACKY DUCK HEAD,ROCKET NET,,,,,,,,,,,,,,,10BM10476,10BM10477,
10BM10906,A/northern pintail/Interior Alaska/10BM10906R0/2010(H7N3),1096-81002,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.92657,148.81829,2341,10-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR28,826,,Y,F,FALL,724,103.9,48.2,261,,0,,,,WACKY DUCK HEAD,BAIT TRAP,,,,,,,,,,,,,,,10BM10906,10BM10907,
10BM10298,A/northern pintail/Interior Alaska/10BM10298R0/2010(H3N8),1096-81118,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89604,148.84413,1115,09-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR21,658,,Y,F,FALL,716,100.8,46.4,250,,0,,,,CRANE LAKE,BAIT TRAP,,,,,,,,,,,,,,,10BM10298,10BM10299,
10BM12221,A/northern pintail/Interior Alaska/10BM12221R0/2010(H4N6),1096-81130,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.90723,148.83553,2222,13-Aug-10,8,2010,Brandt W. Meixell,"Minto Flats, USA, AK",BAITR40,1128,,Y,F,FALL,759,95.1,45,250,,1,,,,WACKY DUCK FEET,BAIT TRAP,,,,,,,,,,,,,,,10BM12220,10BM12221,
