,Strain Name
0,A/northern pintail/Interior Alaska/9BM6165R0/2009
1,A/northern pintail/Interior Alaska/9BM11389R0/2009
2,A/mallard/Interior Alaska/9BM1870/2009
3,A/northern pintail/Interior Alaska/9BM9955R0/2009
4,A/northern pintail/Interior Alaska/9BM9037R0/2009
5,A/mallard/Interior Alaska/9BM1972/2009
6,A/northern pintail/Interior Alaska/9BM6019R1/2009
7,A/northern pintail/Interior Alaska/9BM11787R0/2009
8,A/mallard/Interior Alaska/9BM1358/2009
9,A/northern pintail/Interior Alaska/9BM10959R2/2009
10,A/northern pintail/Interior Alaska/9BM6800R0/2009
11,A/northern shoveler/Interior Alaska/9BM12350R0/2009
