,Sink,Source,Time Class,Time Delta,Transmission Type,Weight
0,A/mallard/New Jersey/AI09-5405/2009,A/mallard/New Jersey/AI09-6434/2009,Direct Transmission,0.0,Intra-Species,7.9475599999999975
1,A/mallard/Mississippi/360/2010,A/mallard/Mississippi/386/2010,Direct Transmission,-1.0,Intra-Species,7.990005
2,A/mallard/Interior Alaska/9BM3078R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,1.0,Intra-Species,8.0
3,A/American green-winged teal/Interior Alaska/9BM3595R1/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,6.0,Inter-Species,8.0
4,A/mallard/Interior Alaska/9BM3357R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,4.0,Intra-Species,8.0
5,A/mallard/Interior Alaska/9BM3379R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,5.0,Intra-Species,8.0
6,A/mallard/Interior Alaska/9BM3076R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,1.0,Intra-Species,8.0
7,A/mallard/Interior Alaska/9BM3361R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,4.0,Intra-Species,8.0
8,A/mallard/Interior Alaska/9BM3355R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,4.0,Intra-Species,7.9994130000000006
9,A/mallard/Interior Alaska/9BM2751R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,-2.0,Intra-Species,7.997020000000001
10,A/mallard/Interior Alaska/9BM3075R2/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,1.0,Intra-Species,7.998437000000001
11,A/mallard/Interior Alaska/9BM2750R0/2009,A/mallard/Interior Alaska/9BM3016R0/2009,Direct Transmission,-2.0,Intra-Species,7.999547
12,A/American green-winged teal/Illinois/10OS3662/2010,A/northern pintail/California/2548/2010,Direct Transmission,8.0,Inter-Species,7.681432000000001
13,A/mallard/Interior Alaska/10BM10173R0/2010,A/mallard/Interior Alaska/10BM10176R0/2010,Direct Transmission,0.0,Intra-Species,7.9991020000000015
14,A/cinnamon teal/California/225/2011,A/mallard/Missouri/350/2009,Environmental Persistence,406.0,Inter-Species,7.812144
15,A/glaucous-winged gull/Southeastern Alaska/10JR01811R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,Direct Transmission,1.0,Intra-Species,7.959726
16,A/glaucous-winged gull/Southeastern Alaska/10JR01681R0/2010,A/glaucous-winged gull/Southeastern Alaska/10JR01700R0/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999
17,A/hooded merganser/New Brunswick/03750/2009,A/ring-billed gull/Quebec/02622-1/2009,Environmental Persistence,56.0,Inter-Species,7.9817100000000005
18,A/mallard-black duck hybrid/New Brunswick/03736/2009,A/ring-billed gull/Quebec/02622-1/2009,Environmental Persistence,56.0,Inter-Species,7.9765690000000005
19,A/mallard/California/1335-1/2010,A/mallard/California/1335/2010,Direct Transmission,0.0,Intra-Species,7.9985490000000015
20,A/mallard/California/2420/2010,A/mallard/California/1335/2010,Environmental Persistence,81.0,Intra-Species,7.982649
21,A/mallard/California/1356/2010,A/mallard/California/1335/2010,Direct Transmission,1.0,Intra-Species,7.9818510000000025
22,A/northern pintail/Interior Alaska/9BM10835R0/2009,A/northern pintail/Interior Alaska/9BM10813R0/2009,Direct Transmission,0.0,Intra-Species,7.983961999999999
23,A/blue-winged teal/Louisiana/AI09-5159/2009,A/mallard/Interior Alaska/9BM12523R0/2009,Environmental Persistence,72.0,Inter-Species,7.599767000000001
24,A/northern pintail/Interior Alaska/10BM09347R0/2010,A/northern pintail/Interior Alaska/10BM09348R0/2010,Direct Transmission,0.0,Intra-Species,8.0
25,A/northern pintail/Interior Alaska/10BM08920R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,0.0,Intra-Species,7.992619
26,A/northern pintail/Interior Alaska/10BM09101R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,0.0,Intra-Species,8.0
27,A/American green-winged teal/Interior Alaska/10BM08228R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,-1.0,Inter-Species,7.9944919999999975
28,A/mallard/Interior Alaska/10BM09162R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,1.0,Inter-Species,7.9991020000000015
29,A/northern pintail/Interior Alaska/10BM09104R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,0.0,Intra-Species,8.0
30,A/mallard/Interior Alaska/10BM09164R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,1.0,Inter-Species,7.999425
31,A/northern pintail/Interior Alaska/10BM09105R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,0.0,Intra-Species,7.997835
32,A/mallard/Interior Alaska/10BM09158R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,1.0,Inter-Species,7.998703
33,A/mallard/Interior Alaska/10CH00035R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Environmental Persistence,31.0,Inter-Species,7.9951729999999985
34,A/mallard/Interior Alaska/10BM09159R0/2010,A/northern pintail/Interior Alaska/10BM09102R0/2010,Direct Transmission,1.0,Inter-Species,7.997975
35,A/American black duck/New Brunswick/00468/2010,A/American black duck/New Brunswick/00587/2010,Direct Transmission,-3.0,Intra-Species,7.99861
36,A/mallard/Interior Alaska/10BM09528R0/2010,A/mallard/Interior Alaska/10BM09539R0/2010,Direct Transmission,0.0,Intra-Species,7.999535000000002
37,A/mallard/Interior Alaska/10BM09548R0/2010,A/mallard/Interior Alaska/10BM09539R0/2010,Direct Transmission,0.0,Intra-Species,7.996372
38,A/northern pintail/Interior Alaska/10BM09481R0/2010,A/mallard/Interior Alaska/10BM09539R0/2010,Direct Transmission,-1.0,Inter-Species,7.9991330000000005
39,A/mallard/Interior Alaska/9BM1964/2009,A/mallard/Interior Alaska/9BM1869/2009,Direct Transmission,5.0,Intra-Species,7.996810000000001
