,Host,Isolate Name,Isolation Date,State,Subtype
0,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/331/2008,2008-05-17 00:00:00,Delaware,(N6)
1,IRD:Mallard/Avian,A/mallard/California/2542V/2011,2011-08-12 00:00:00,California,H5N1
2,IRD:Mallard/Avian,A/mallard/California/10125/2008,2008-12-13 00:00:00,California,H11N9
3,IRD:Avian,A/blue-winged teal/Nova Scotia/00079/2010,2010-09-07 00:00:00,Nova Scotia,H3N8
4,IRD:Avian,A/northern pintail/Interior Alaska/9BM6248R0/2009,2009-08-03 00:00:00,Interior Alaska,H4N6
5,IRD:American Black Duck/Avian,A/American black duck/Wisconsin/11OS3191/2011,2011-09-24 00:00:00,Wisconsin,H6N1
6,IRD:Mallard/Avian,A/mallard/Interior Alaska/10BM12374R0/2010,2010-08-14 00:00:00,Interior Alaska,H3N8
7,IRD:Green-Winged Teal/Avian,A/American green-winged teal/Wisconsin/2743/2009,2009-10-17 00:00:00,Wisconsin,H1N1
8,IRD:Mallard/Avian,A/mallard/Interior Alaska/9BM8921R0/2009,2009-08-11 00:00:00,Interior Alaska,H10N7
9,IRD:Northern Shoveler/Avian,A/northern shoveler/California/9228/2008,2008-11-22 00:00:00,California,H4N6
10,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/AI09-727/2009,2009-05-26 00:00:00,New Jersey,H1N9
11,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Guatemala/CIP049-02/2008,2008-03-05 00:00:00,Guatemala,H7N9
12,IRD:Mallard/Avian,A/mallard/Wisconsin/11OS3092/2011,2011-09-25 00:00:00,Wisconsin,H3N2
13,IRD:Blue-Winged Teal/Avian,A/blue-winged teal/Wisconsin/2713/2009,2009-10-17 00:00:00,Wisconsin,H4N2
14,IRD:Northern Pintail/Avian,A/northern pintail/Interior Alaska/8BM3041/2008,2008-08-17 00:00:00,Interior Alaska,H8N4
15,IRD:Avian,A/blue-winged teal/North Dakota/Sg-00740/2008,2008-09-07 00:00:00,North Dakota,H3N8
16,IRD:Mallard/Avian,A/mallard/Interior Alaska/8MP0547/2008,2008-08-11 00:00:00,Interior Alaska,H8N4
17,IRD:Mallard/Avian,A/mallard/California/2569V/2011,2011-08-12 00:00:00,California,H3N8
18,IRD:Shorebird/Avian,A/shorebird/Delaware Bay/382/2008,2008-05-17 00:00:00,Delaware,H4N6
19,IRD:Green-Winged Teal/Avian,A/American green-winged teal/Mississippi/09OS046/2009,2009-01-09 00:00:00,Mississippi,H7N7
20,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00487/2008,2008-05-18 00:00:00,New Jersey,H10N7
21,IRD:Avian,A/American black duck/New Brunswick/00469/2010,2010-08-12 00:00:00,New Brunswick,H4N6
22,IRD:Avian,A/green-winged teal/New Brunswick/00331/2010,2010-08-08 00:00:00,New Brunswick,(N1)
23,IRD:Avian,A/mallard/California/8416/2008,2008-10-22 00:00:00,California,H6N1
24,IRD:Ruddy Turnstone/Avian,A/ruddy turnstone/New Jersey/Sg-00492/2008,2008-05-18 00:00:00,New Jersey,H4N6
25,IRD:Avian,A/blue-winged teal/New Brunswick/00775/2010,2010-08-25 00:00:00,New Brunswick,H3N8
