Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
4,HA,CY130469,Yes,1740,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
5,NP,CY130472,Yes,1540,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
7,"M1,M2",CY130470,Yes,991,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
8,"NS1,NS2",CY130473,Yes,865,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
2,"PB1,PB1-F2",CY130475,Yes,2309,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
6,NA,CY130471,Yes,1439,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
3,"PA,PA-X protein(+61)",CY130474,Yes,2151,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
1,PB2,CY130476,Yes,2307,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM04207R0/2010
8,"NS1,NS2",CY135675,Yes,865,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
6,NA,CY135673,Yes,1440,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
7,"M1,M2",CY135672,Yes,991,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
3,"PA,PA-X protein(+61)",CY135676,Yes,2151,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
5,NP,CY135674,Yes,1540,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
2,"PB1,PB1-F2",CY135677,Yes,2311,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
4,HA,CY135671,Yes,1708,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
1,PB2,CY135678,Yes,2307,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6)
2,"PB1,PB1-F2",CY135735,Yes,2305,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
5,NP,CY135732,Yes,1540,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
7,"M1,M2",CY135730,Yes,1002,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
6,NA,CY135731,Yes,1421,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
3,"PA,PA-X protein(+61)",CY135734,Yes,2208,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
1,PB2,CY135736,Yes,2316,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
8,"NS1,NS2",CY135733,Yes,864,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
4,HA,CY135729,Yes,1740,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM05376R0/2010(H3N8)
1,PB2,CY136050,Yes,2316,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
4,HA,CY136043,Yes,1713,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
3,"PA,PA-X protein(+61)",CY136048,Yes,2208,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
6,NA,CY136045,Yes,1440,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
7,"M1,M2",CY136044,Yes,1002,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
8,"NS1,NS2",CY136047,Yes,865,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
5,NP,CY136046,Yes,1540,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
2,"PB1,PB1-F2",CY136049,Yes,2274,H4N6,7/30/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM06728R0/2010(H4N6)
2,"PB1,PB1-F2",CY136025,Yes,2309,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
1,PB2,CY136026,Yes,2307,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
3,"PA,PA-X protein(+61)",CY136024,Yes,2208,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
7,"M1,M2",CY136020,Yes,991,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
5,NP,CY136022,Yes,1540,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
8,"NS1,NS2",CY136023,Yes,865,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
4,HA,CY136019,Yes,1708,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
6,NA,CY136021,Yes,1439,H4N6,7/31/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07000R0/2010(H4N6)
7,"M1,M2",CY143485,Yes,1002,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
4,HA,CY143484,Yes,1740,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
6,NA,CY143486,Yes,1421,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
2,"PB1,PB1-F2",CY143490,Yes,2309,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
5,NP,CY143487,Yes,1540,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
1,PB2,CY143491,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
8,"NS1,NS2",CY143488,Yes,864,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
3,"PA,PA-X protein(+61)",CY143489,Yes,2208,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07573R0/2010
4,HA,CY143500,Yes,1740,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
5,NP,CY143503,Yes,1540,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
3,"PA,PA-X protein(+61)",CY143505,Yes,2202,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
7,"M1,M2",CY143501,Yes,1002,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
1,PB2,CY143507,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
8,"NS1,NS2",CY143504,Yes,864,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
6,NA,CY143502,Yes,1421,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
2,"PB1,PB1-F2",CY143506,Yes,2316,H3N8,8/2/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07649R0/2010
6,NA,CY143518,Yes,1436,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
3,"PA,PA-X protein(+61)",CY143521,Yes,2208,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
5,NP,CY143519,Yes,1540,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
7,"M1,M2",CY143517,Yes,991,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
4,HA,CY143516,Yes,1708,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
1,PB2,CY143523,Yes,2307,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
8,"NS1,NS2",CY143520,Yes,865,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
2,"PB1,PB1-F2",CY143522,Yes,2309,H4N6,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07863R0/2010
2,"PB1,PB1-F2",CY143530,Yes,2309,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
6,NA,CY143526,Yes,1421,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
8,"NS1,NS2",CY143528,Yes,855,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
3,"PA,PA-X protein(+61)",CY143529,Yes,2208,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
4,HA,CY143524,Yes,1740,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
1,PB2,CY143531,Yes,2316,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
5,NP,CY143527,Yes,1540,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
7,"M1,M2",CY143525,Yes,1002,H3N8,8/3/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM07917R0/2010
6,NA,CY143550,Yes,1421,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
4,HA,CY143548,Yes,1740,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
7,"M1,M2",CY143549,Yes,1002,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
1,PB2,CY143555,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
2,"PB1,PB1-F2",CY143554,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
5,NP,CY143551,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
3,"PA,PA-X protein(+61)",CY143553,Yes,2208,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
8,"NS1,NS2",CY143552,Yes,864,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08134R0/2010
6,NA,CY143558,Yes,1435,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
2,"PB1,PB1-F2",CY143562,Yes,2316,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
5,NP,CY143559,Yes,1540,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
4,HA,CY143556,Yes,1701,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
8,"NS1,NS2",CY143560,Yes,865,H3N8,8/4/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,A/American green-winged teal/Interior Alaska/10BM08222R0/2010
