Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Strain Name
7,"M1,M2",KC781902,Yes,982,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
4,HA,KC781903,Yes,1701,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
4,HA,KC780620,Yes,1701,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
2,PB1,KC781897,Yes,2274,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
1,PB2,KC781898,Yes,2280,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
6,NA,KC780619,Yes,1410,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
5,NP,KC781899,Yes,1497,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
6,NA,KC781901,Yes,1410,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
8,"NS1,NS2",KC781896,Yes,863,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
7,"M1,M2",KC780618,Yes,982,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
3,"PA,PA-X protein(+41)",KC781900,Yes,2151,H1N1,1/4/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/01/2010
7,"M1,M2",GQ457474,Yes,982,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
1,PB2,GQ200229,Yes,2280,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
3,"PA,PA-X protein(+41)",GQ200230,Yes,2151,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
4,HA,GQ894929,Yes,1701,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
2,PB1,GQ894930,Yes,2274,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
5,NP,GQ894931,Yes,1497,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
8,"NS1,NS2",GQ168624,Yes,863,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
6,NA,GQ323480,Yes,1410,H1N1,4/27/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/02/2009(H1N1)
5,NP,KC781167,Yes,1497,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
3,"PA,PA-X protein(+41)",KC781166,Yes,2151,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
8,"NS1,NS2",KC781171,Yes,863,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
4,HA,KC781169,Yes,1701,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
6,NA,KC781168,Yes,1410,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
2,PB1,KC781164,Yes,2274,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
7,"M1,M2",KC781170,Yes,982,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
1,PB2,KC781165,Yes,2280,H1N1,3/1/2010,IRD:Human,USA,Alabama,10-Sep,A/Alabama/03/2010
4,HA,CY100844,Yes,1730,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009
8,"NS1,NS2",CY100848*,Yes,845,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
3,"PA,PA-X protein(+61)",CY100843*,Yes,2193,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
7,"M1,M2",CY100847*,Yes,983,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
6,NA,CY100846*,Yes,1413,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
1,PB2,CY100841*,Yes,2295,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
2,"PB1,PB1-F2",CY100842*,Yes,2302,H1N1,4/1/2009,IRD:Human,USA,Alabama,9-Aug,A/Alabama/WRAIR1235P/2009(H1N1)
4,HA,KC781389,Yes,1701,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
2,PB1,KC781385,Yes,2274,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
7,"M1,M2",KC781388,Yes,982,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
6,NA,KC781387,Yes,1410,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
5,NP,KC781386,Yes,1497,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
3,"PA,PA-X protein(+41)",KC781392,Yes,2151,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
8,"NS1,NS2",KC781390,Yes,863,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
1,PB2,KC781391,Yes,2280,H1N1,2/7/2010,IRD:Human,USA,Alaska,10-Sep,A/Alaska/01/2010
8,"NS1,NS2",KC883399,Yes,838,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
6,NA,KC883397,Yes,1410,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
5,NP,KC883403,Yes,1497,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
2,"PB1,PB1-F2",KC883401,Yes,2277,H3N2,3/1/2011,IRD:Human,USA,Alaska,11-Oct,A/Alaska/15/2011
