Segment,Protein Name,Sequence Accession,Complete Genome,Segment Length,Subtype,Collection Date,Host Species,Country,State/Province,Flu Season,Sample ID
4,HA,CY130469,Yes,1740,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
5,NP,CY130472,Yes,1540,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
7,"M1,M2",CY130470,Yes,991,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
8,"NS1,NS2",CY130473,Yes,865,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
2,"PB1,PB1-F2",CY130475,Yes,2309,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
6,NA,CY130471,Yes,1439,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
3,"PA,PA-X protein(+61)",CY130474,Yes,2151,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
1,PB2,CY130476,Yes,2307,H3N6,7/13/2010,IRD:Green-winged Teal/Avian,USA,Alaska,-N/A-,10BM04207
8,"NS1,NS2",CY135675,Yes,865,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
6,NA,CY135673,Yes,1440,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
7,"M1,M2",CY135672,Yes,991,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
3,"PA,PA-X protein(+61)",CY135676,Yes,2151,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
5,NP,CY135674,Yes,1540,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
2,"PB1,PB1-F2",CY135677,Yes,2311,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
4,HA,CY135671,Yes,1708,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
1,PB2,CY135678,Yes,2307,H4N6,7/22/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05165
2,"PB1,PB1-F2",CY135735,Yes,2305,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
5,NP,CY135732,Yes,1540,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
7,"M1,M2",CY135730,Yes,1002,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
6,NA,CY135731,Yes,1421,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
3,"PA,PA-X protein(+61)",CY135734,Yes,2208,H3N8,7/25/2010,IRD:Green-Winged Teal/Avian,USA,Alaska,-N/A-,10BM05376
