Strain Name,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Country,Host Species,Collection Date,Subtype,Complete Genome
A/American black duck/Illinois/4119/2009,CY097541,CY097540,CY097539,CY097534,CY097537,CY097536,CY097535,CY097538,Illinois,USA,IRD:American Black Duck/Avian,11/29/2009,H8N4,Yes
A/American black duck/New Brunswick/00321/2010,CY138647,CY138646,CY138645,CY138640,CY138643,CY138642,CY138641,CY138644,-N/A-,Canada,IRD:American Black Duck/Avian,8/8/2010,H1N1,Yes
A/American black duck/New Brunswick/00322/2010,CY138655,CY138654,CY138653,CY138648,CY138651,CY138650,CY138649,CY138652,-N/A-,Canada,IRD:American Black Duck/Avian,8/8/2010,H3N8,Yes
A/American black duck/New Brunswick/00326/2010,CY138671,CY138670,CY138669,CY138664,CY138667,CY138666,CY138665,CY138668,-N/A-,Canada,IRD:American Black Duck/Avian,8/8/2010,H1N1,Yes
A/American black duck/New Brunswick/00328/2010,CY138679,CY138678,CY138677,CY138672,CY138675,CY138674,CY138673,CY138676,-N/A-,Canada,IRD:American Black Duck/Avian,8/8/2010,H1N1,Yes
A/American black duck/New Brunswick/00344/2010,CY138776,CY138775,CY138774,CY138769,CY138772,CY138771,CY138770,CY138773,-N/A-,Canada,IRD:American Black Duck/Avian,8/8/2010,H7N7,Yes
A/American black duck/New Brunswick/00385/2010,CY138824,CY138823,CY138822,CY138817,CY138820,CY138819,CY138818,CY138821,-N/A-,Canada,IRD:American Black Duck/Avian,8/9/2010,H1N1,Yes
A/American black duck/New Brunswick/00410/2010,CY138849,CY138848,CY138847,CY138842,CY138845,CY138844,CY138843,CY138846,-N/A-,Canada,IRD:American Black Duck/Avian,8/10/2010,H1N1,Yes
A/American black duck/New Brunswick/00424/2010,CY138857,CY138856,CY138855,CY138850,CY138853,CY138852,CY138851,CY138854,-N/A-,Canada,IRD:American Black Duck/Avian,8/10/2010,H3N8,Yes
A/American black duck/New Brunswick/00425/2010,CY138865,CY138864,CY138863,CY138858,CY138861,CY138860,CY138859,CY138862,-N/A-,Canada,IRD:American Black Duck/Avian,8/10/2010,H3N8,Yes
A/American black duck/New Brunswick/00454/2010,CY138873,CY138872,CY138871,CY138866,CY138869,CY138868,CY138867,CY138870,-N/A-,Canada,IRD:American Black Duck/Avian,8/11/2010,H3N8,Yes
A/American black duck/New Brunswick/00464/2010,CY138052,CY138051,CY138050,CY138045,CY138048,CY138047,CY138046,CY138049,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00467/2010,CY138881,CY138880,CY138879,CY138874,CY138877,CY138876,CY138875,CY138878,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H3N8,Yes
A/American black duck/New Brunswick/00468/2010,CY138889,CY138888,CY138887,CY138882,CY138885,CY138884,CY138883,CY138886,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00469/2010,CY138897,CY138896,CY138895,CY138890,CY138893,CY138892,CY138891,CY138894,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00470/2010,CY138905,CY138904,CY138903,CY138898,CY138901,CY138900,CY138899,CY138902,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00471/2010,CY138913,CY138912,CY138911,CY138906,CY138909,CY138908,CY138907,CY138910,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H10N6,Yes
A/American black duck/New Brunswick/00472/2010,CY138921,CY138920,CY138919,CY138914,CY138917,CY138916,CY138915,CY138918,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00473/2010,CY138060,CY138059,CY138058,CY138053,CY138056,CY138055,CY138054,CY138057,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
A/American black duck/New Brunswick/00476/2010,CY138932,CY138931,CY138930,CY138922,CY138927,CY138925,CY138924,CY138928,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,(H3),Yes
A/American black duck/New Brunswick/00477/2010,CY138940,CY138939,CY138938,CY138933,CY138936,CY138935,CY138934,CY138937,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H10N6,Yes
A/American black duck/New Brunswick/00478/2010,CY138948,CY138947,CY138946,CY138941,CY138944,CY138943,CY138942,CY138945,-N/A-,Canada,IRD:American Black Duck/Avian,8/12/2010,H4N6,Yes
