CY135326,CY135325,CY135324,CY135319,CY135322,CY135321,CY135320,CY135323
CY135334,CY135333,CY135332,CY135327,CY135330,CY135329,CY135328,CY135331
CY135510,CY135509,CY135508,CY135503,CY135506,CY135505,CY135504,CY135507
CY130412,CY130411,CY130410,CY130405,CY130408,CY130407,CY130406,CY130409
CY130436,CY130435,CY130434,CY130429,CY130432,CY130431,CY130430,CY130433
CY135744,CY135743,CY135742,CY135737,CY135740,CY135739,CY135738,CY135741
CY135752,CY135751,CY135750,CY135745,CY135748,CY135747,CY135746,CY135749
CY135770,CY135769,CY135768,CY135763,CY135766,CY135765,CY135764,CY135767
CY135778,CY135777,CY135776,CY135771,CY135774,CY135773,CY135772,CY135775
CY135794,CY135793,CY135792,CY135787,CY135790,CY135789,CY135788,CY135791
CY135802,CY135801,CY135800,CY135795,CY135798,CY135797,CY135796,CY135799
CY142241,CY142240,CY142239,CY142234,CY142237,CY142236,CY142235,CY142238
CY142249,CY142248,CY142247,CY142242,CY142245,CY142244,CY142243,CY142246
CY142713,CY142712,CY142711,CY142706,CY142709,CY142708,CY142707,CY142710
CY135438,CY135437,CY135436,CY135431,CY135434,CY135433,CY135432,CY135435
CY130428,CY130427,CY130426,CY130421,CY130424,CY130423,CY130422,CY130425
CY142513,CY142512,CY142511,CY142506,CY142509,CY142508,CY142507,CY142510
CY141414,CY141413,CY141412,CY141407,CY141410,CY141409,CY141408,CY141411
CY143329,CY143328,CY143327,CY143322,CY143325,CY143324,CY143323,CY143326
CY143017,CY143016,CY143015,CY143010,CY143013,CY143012,CY143011,CY143014
CY142841,CY142840,CY142839,CY142834,CY142837,CY142836,CY142835,CY142838
CY143347,CY143346,CY143345,CY143340,CY143343,CY143342,CY143341,CY143344
CY142857,CY142856,CY142855,CY142850,CY142853,CY142852,CY142851,CY142854
CY142185,CY142184,CY142183,CY142178,CY142181,CY142180,CY142179,CY142182
CY142193,CY142192,CY142191,CY142186,CY142189,CY142188,CY142187,CY142190
CY141813,CY141812,CY141811,CY141806,CY141809,CY141808,CY141807,CY141810
CY141821,CY141820,CY141819,CY141814,CY141817,CY141816,CY141815,CY141818
CY141837,CY141836,CY141835,CY141830,CY141833,CY141832,CY141831,CY141834
CY141933,CY141932,CY141931,CY141926,CY141929,CY141928,CY141927,CY141930
CY143835,CY143834,CY143833,CY143828,CY143831,CY143830,CY143829,CY143832
CY141506,CY141505,CY141504,CY141499,CY141502,CY141501,CY141500,CY141503
CY143843,CY143842,CY143841,CY143836,CY143839,CY143838,CY143837,CY143840
CY143876,CY143875,CY143874,CY143869,CY143872,CY143871,CY143870,CY143873
CY142577,CY142576,CY142575,CY142570,CY142573,CY142572,CY142571,CY142574
