,Isolate2,Isolate1,PWI,Collection Date1,Host Species1,Subtype1,Country1,State/Province1,Collection Date2,Host Species2,Subtype2,Country2,State/Province2,Time Delta
45632,A/American black duck/New Brunswick/00616/2010,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,7.677788,2010-08-03 00:00:00,IRD:Green-winged Teal/Avian,H3N8,USA,Alaska,2010-08-16 00:00:00,IRD:American Black Duck/Avian,H3N8,Canada,New Brunswick,"13 days, 00:00:00"
61603,A/American black duck/New Brunswick/00949/2010,A/mallard/Interior Alaska/10CH00021R0/2010(H4N6),7.704047,2010-09-04 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-09-15 00:00:00,IRD:American Black Duck/Avian,H4N6,Canada,New Brunswick,"11 days, 00:00:00"
119011,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/mallard/Interior Alaska/10BM02530R0/2010,7.985496000000001,2010-06-22 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"30 days, 00:00:00"
119012,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/mallard/Interior Alaska/10BM02644R0/2010,7.987636,2010-06-25 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"27 days, 00:00:00"
119014,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/mallard/Interior Alaska/10BM03979R0/2010,7.985200999999999,2010-07-12 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"10 days, 00:00:00"
119018,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/mallard/Interior Alaska/10BM04626R0/2010(H4N6),7.988263000000001,2010-07-18 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"4 days, 00:00:00"
119019,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/mallard/Interior Alaska/10BM04988R0/2010(H4N6),7.988237,2010-07-21 00:00:00,IRD:Mallard/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"1 days, 00:00:00"
119391,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/northern pintail/Interior Alaska/10BM02791R0/2010,7.985956,2010-06-25 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"27 days, 00:00:00"
119393,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/northern pintail/Interior Alaska/10BM04704R0/2010,7.9711979999999985,2010-07-18 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,"4 days, 00:00:00"
119396,A/American green-winged teal/Interior Alaska/10BM05165R0/2010(H4N6),A/northern pintail/Interior Alaska/10BM05171R0/2010,7.982608000000001,2010-07-22 00:00:00,IRD:Northern Pintail/Avian,H4N6,USA,Alaska,2010-07-22 00:00:00,IRD:Green-Winged Teal/Avian,H4N6,USA,Alaska,00:00:00
